Date,Primary Type,Description,Community Area,Domestic,Latitude,Longitude
2025-12-27 00:00:00,CRIMINAL DAMAGE,TO VEHICLE,48.0,True,41.728999573,-87.570661098
2025-12-27 00:00:00,CRIMINAL DAMAGE,TO VEHICLE,50.0,False,41.688684476,-87.609539543
2025-12-27 00:00:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,23.0,False,41.909568263,-87.707005828
2025-12-27 00:00:00,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,6.0,False,41.936335635,-87.650710119
2025-12-27 00:00:00,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,45.0,False,41.746976726,-87.589375433
2025-12-27 00:00:00,CRIMINAL DAMAGE,TO PROPERTY,71.0,False,41.749683042,-87.665847295
2025-12-27 00:00:00,BURGLARY,BURGLARY FROM MOTOR VEHICLE,17.0,False,41.938647286,-87.805524927
2025-12-27 00:00:00,CRIMINAL DAMAGE,TO VEHICLE,24.0,False,41.889016567,-87.650193151
2025-12-27 00:00:00,BATTERY,SIMPLE,40.0,True,41.78317679,-87.620551762
2025-12-27 00:00:00,CRIMINAL DAMAGE,TO VEHICLE,15.0,False,41.942132205,-87.774730937
2025-12-27 00:00:00,THEFT,$500 AND UNDER,4.0,False,41.971242392,-87.690229119
2025-12-27 00:00:00,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",46.0,True,41.747516179,-87.547963847
2025-12-27 00:00:00,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,25.0,True,41.894907524,-87.758768643
2025-12-27 00:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,28.0,False,41.885309786,-87.667599365
2025-12-27 00:00:00,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,30.0,False,41.851269884,-87.716207764
2025-12-27 00:00:00,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,30.0,False,41.83889805,-87.714040398
2025-12-27 00:00:00,BURGLARY,UNLAWFUL ENTRY,43.0,False,41.753567049,-87.564554197
2025-12-27 00:00:00,CRIMINAL TRESPASS,TO VEHICLE,31.0,False,41.856216962,-87.651518736
2025-12-27 00:00:00,CRIMINAL DAMAGE,TO VEHICLE,69.0,False,41.767409383,-87.621202858
2025-12-27 00:00:00,THEFT,FROM BUILDING,61.0,False,41.815236246,-87.666373972
2025-12-26 23:51:00,BATTERY,SIMPLE,68.0,False,41.778911187,-87.652052262
2025-12-26 23:50:00,BURGLARY,FORCIBLE ENTRY,46.0,False,41.737980878,-87.532229701
2025-12-26 23:50:00,BATTERY,AGGRAVATED - HANDGUN,26.0,False,41.873907046,-87.725430093
2025-12-26 23:50:00,BATTERY,DOMESTIC BATTERY SIMPLE,23.0,True,41.903804161,-87.728797986
